NOMBRE COMPLETO                | SEGMENTO   | SALDO        | SALDO GLOB   | Total de Tarjetas | Ultima_Actividad_Fecha
--------------------------------------------------------------------------------------------------
NOMBRE_1 APELLIDO_1            | ESTANDAR   |        75000 |        76000 |       | 2026-02-16  
NOMBRE_3 APELLIDO_3            | ESTANDAR   |       999000 |      1002000 |       | 2026-02-16  
NOMBRE_51 APELLIDO_51          | ESTANDAR   |        51000 |        51000 |       | 2026-02-16  
NOMBRE_53 APELLIDO_53          | ESTANDAR   |        53000 |        53000 |       | 2026-02-16  
NOMBRE_55 APELLIDO_55          | ESTANDAR   |        55000 |        55000 |       | 2026-02-16  
NOMBRE_57 APELLIDO_57          | ESTANDAR   |        57000 |        57000 |       | 2026-02-16  
NOMBRE_59 APELLIDO_59          | ESTANDAR   |        59000 |        59000 |       | 2026-02-16  
NOMBRE_61 APELLIDO_61          | ESTANDAR   |        61000 |        61000 |       | 2026-02-16  
NOMBRE_63 APELLIDO_63          | ESTANDAR   |        63000 |        63000 |       | 2026-02-16  
NOMBRE_65 APELLIDO_65          | ESTANDAR   |        65000 |        65000 |       | 2026-02-16  
NOMBRE_67 APELLIDO_67          | ESTANDAR   |        67000 |        67000 |       | 2026-02-16  
NOMBRE_69 APELLIDO_69          | ESTANDAR   |        69000 |        69000 |       | 2026-02-16  
NOMBRE_71 APELLIDO_71          | ESTANDAR   |        71000 |        71000 |       | 2026-02-16  
NOMBRE_73 APELLIDO_73          | ESTANDAR   |        73000 |        73000 |       | 2026-02-16  
NOMBRE_75 APELLIDO_75          | ESTANDAR   |        75000 |        75000 |       | 2026-02-16  
NOMBRE_77 APELLIDO_77          | ESTANDAR   |        77000 |        77000 |       | 2026-02-16  
NOMBRE_79 APELLIDO_79          | ESTANDAR   |        79000 |        79000 |       | 2026-02-16  
NOMBRE_81 APELLIDO_81          | ESTANDAR   |        81000 |        81000 |       | 2026-02-16  
NOMBRE_83 APELLIDO_83          | ESTANDAR   |        83000 |        83000 |       | 2026-02-16  
NOMBRE_85 APELLIDO_85          | ESTANDAR   |        85000 |        85000 |       | 2026-02-16  
NOMBRE_87 APELLIDO_87          | ESTANDAR   |        87000 |        87000 |       | 2026-02-16  
NOMBRE_89 APELLIDO_89          | ESTANDAR   |        89000 |        89000 |       | 2026-02-16  
NOMBRE_91 APELLIDO_91          | ESTANDAR   |        91000 |        91000 |       | 2026-02-16  
NOMBRE_93 APELLIDO_93          | ESTANDAR   |        93000 |        93000 |       | 2026-02-16  
NOMBRE_95 APELLIDO_95          | ESTANDAR   |        95000 |        95000 |       | 2026-02-16  
NOMBRE_97 APELLIDO_97          | ESTANDAR   |        97000 |        97000 |       | 2026-02-16  
NOMBRE_99 APELLIDO_99          | ESTANDAR   |        99000 |        99000 |       | 2026-02-16  
NOMBRE_101 APELLIDO_101        | ESTANDAR   |       101000 |       101000 |       | 2026-02-16  
NOMBRE_103 APELLIDO_103        | ESTANDAR   |       103000 |       103000 |       | 2026-02-16  
NOMBRE_105 APELLIDO_105        | ESTANDAR   |       105000 |       105000 |       | 2026-02-16  
NOMBRE_107 APELLIDO_107        | ESTANDAR   |       107000 |       107000 |       | 2026-02-16  
NOMBRE_109 APELLIDO_109        | ESTANDAR   |       109000 |       109000 |       | 2026-02-16  
NOMBRE_111 APELLIDO_111        | ESTANDAR   |       111000 |       111000 |       | 2026-02-16  
NOMBRE_113 APELLIDO_113        | ESTANDAR   |       113000 |       113000 |       | 2026-02-16  
NOMBRE_115 APELLIDO_115        | ESTANDAR   |       115000 |       115000 |       | 2026-02-16  
NOMBRE_117 APELLIDO_117        | ESTANDAR   |       117000 |       117000 |       | 2026-02-16  
NOMBRE_119 APELLIDO_119        | ESTANDAR   |       119000 |       119000 |       | 2026-02-16  
NOMBRE_121 APELLIDO_121        | ESTANDAR   |       121000 |       121000 |       | 2026-02-16  
NOMBRE_123 APELLIDO_123        | ESTANDAR   |       123000 |       123000 |       | 2026-02-16  
NOMBRE_125 APELLIDO_125        | ESTANDAR   |       125000 |       125000 |       | 2026-02-16  
NOMBRE_127 APELLIDO_127        | ESTANDAR   |       127000 |       127000 |       | 2026-02-16  
NOMBRE_129 APELLIDO_129        | ESTANDAR   |       129000 |       129000 |       | 2026-02-16  
NOMBRE_131 APELLIDO_131        | ESTANDAR   |       131000 |       131000 |       | 2026-02-16  
NOMBRE_133 APELLIDO_133        | ESTANDAR   |       133000 |       133000 |       | 2026-02-16  
NOMBRE_135 APELLIDO_135        | ESTANDAR   |       135000 |       135000 |       | 2026-02-16  
NOMBRE_137 APELLIDO_137        | ESTANDAR   |       137000 |       137000 |       | 2026-02-16  
NOMBRE_139 APELLIDO_139        | ESTANDAR   |       139000 |       139000 |       | 2026-02-16  
NOMBRE_141 APELLIDO_141        | ESTANDAR   |       141000 |       141000 |       | 2026-02-16  
NOMBRE_143 APELLIDO_143        | ESTANDAR   |       143000 |       143000 |       | 2026-02-16  
NOMBRE_145 APELLIDO_145        | ESTANDAR   |       145000 |       145000 |       | 2026-02-16  
NOMBRE_147 APELLIDO_147        | ESTANDAR   |       147000 |       147000 |       | 2026-02-16  
